Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost,Points,WinRate,LossRate,Performance
2019-20,1,Alavés,  ,2–1,1–1,0–5,2–0,2–1,0–0,0–0,0–2,1–1,1–0,2–0,0–1,1–1,1–2,2–0,0–1,1–1,3–0,1–2,,,16,38,10,9,19,39,0.2631578947368421,0.5,0.34210526315789475
2019-20,2,Athletic Bilbao,2–0,  ,1–1,1–0,1–1,0–0,3–0,0–2,2–0,0–2,2–1,3–1,0–1,1–0,0–1,2–0,1–2,0–1,1–1,1–0,,,11,38,13,12,13,51,0.34210526315789475,0.34210526315789475,0.4473684210526316
2019-20,3,Atlético Madrid,2–1,2–0,  ,0–1,0–0,3–2,3–1,1–0,1–0,0–0,2–1,3–0,2–0,1–0,0–0,1–1,2–2,1–1,1–0,3–1,,,3,38,18,16,4,70,0.47368421052631576,0.10526315789473684,0.6140350877192983
2019-20,4,Barcelona,4–1,1–0,2–2,  ,4–1,5–0,1–0,2–1,1–0,2–0,2–1,5–2,1–2,5–2,0–0,1–0,4–0,5–2,5–1,2–1,,,2,38,25,7,6,82,0.6578947368421053,0.15789473684210525,0.7192982456140351
2019-20,5,Celta Vigo,6–0,1–0,1–1,2–2,  ,0–0,1–1,0–1,0–2,1–0,2–3,2–2,1–1,1–1,1–3,0–1,2–1,1–0,0–0,0–1,,,17,38,7,16,15,37,0.18421052631578946,0.39473684210526316,0.32456140350877194
2019-20,6,Eibar,0–2,2–2,2–0,0–3,2–0,  ,1–2,0–1,3–0,0–0,3–0,1–2,0–2,1–1,0–4,1–2,3–2,1–0,3–1,2–1,,,14,38,11,9,18,42,0.2894736842105263,0.47368421052631576,0.3684210526315789
2019-20,7,Espanyol,2–0,1–1,1–1,2–2,0–0,0–2,  ,1–1,0–3,0–1,1–3,1–0,2–4,2–2,0–1,1–3,0–2,1–2,0–2,0–1,,,20,38,5,10,23,25,0.13157894736842105,0.6052631578947368,0.21929824561403508
2019-20,8,Getafe,1–1,1–1,0–2,0–2,0–0,1–1,0–0,  ,3–1,2–0,4–0,4–2,0–0,1–0,0–3,2–1,0–3,3–0,2–0,1–3,,,8,38,14,12,12,54,0.3684210526315789,0.3157894736842105,0.47368421052631576
2019-20,9,Granada,3–0,4–0,1–1,2–0,0–0,1–2,2–1,2–1,  ,1–0,1–2,1–0,1–0,1–0,1–2,1–2,0–1,2–2,2–1,0–1,,,7,38,16,8,14,56,0.42105263157894735,0.3684210526315789,0.49122807017543857
2019-20,10,Leganés,1–1,1–1,0–1,1–2,3–2,1–2,2–0,0–3,0–0,  ,1–2,1–0,0–1,0–0,2–2,2–1,0–3,1–0,1–2,0–3,,,18,38,8,12,18,36,0.21052631578947367,0.47368421052631576,0.3157894736842105
2019-20,11,Levante,0–1,1–2,0–1,3–1,3–1,0–0,0–1,1–0,1–1,2–0,  ,2–1,1–1,4–2,1–0,1–1,1–1,2–4,2–0,2–1,,,12,38,14,7,17,49,0.3684210526315789,0.4473684210526316,0.4298245614035088
2019-20,12,Mallorca,1–0,0–0,0–2,0–4,5–1,2–1,2–0,0–1,1–2,1–1,2–0,  ,2–2,1–2,1–0,0–1,0–2,4–1,0–1,3–1,,,19,38,9,6,23,33,0.23684210526315788,0.6052631578947368,0.2894736842105263
2019-20,13,Osasuna,4–2,1–2,0–5,2–2,2–1,0–0,1–0,0–0,0–3,2–1,2–0,2–2,  ,0–0,1–4,3–4,1–1,3–1,0–0,2–1,,,10,38,13,13,12,52,0.34210526315789475,0.3157894736842105,0.45614035087719296
2019-20,14,Real Betis,1–2,3–2,1–2,2–3,2–1,1–1,1–0,1–1,2–2,2–1,3–1,3–3,3–0,  ,2–1,3–0,1–2,2–1,1–2,0–2,,,15,38,10,11,17,41,0.2631578947368421,0.4473684210526316,0.35964912280701755
2019-20,15,Real Madrid,2–0,0–0,1–0,2–0,2–2,3–1,2–0,1–0,4–2,5–0,3–2,2–0,2–0,0–0,  ,3–1,2–1,3–0,1–1,2–1,,,1,38,26,9,3,87,0.6842105263157895,0.07894736842105263,0.7631578947368421
2019-20,16,Real Sociedad,3–0,2–1,2–0,2–2,0–1,4–1,2–1,1–2,2–3,1–1,1–2,3–0,1–1,3–1,1–2,  ,0–0,3–0,1–0,1–2,,,6,38,16,8,14,56,0.42105263157894735,0.3684210526315789,0.49122807017543857
2019-20,17,Sevilla,1–1,1–1,1–1,0–0,1–1,1–0,2–2,2–0,2–0,1–0,1–0,2–0,3–2,2–0,0–1,3–2,  ,1–0,1–1,1–2,,,4,38,19,13,6,70,0.5,0.15789473684210525,0.6140350877192983
2019-20,18,Valencia,2–1,0–2,2–2,2–0,1–0,1–0,1–0,3–3,2–0,1–1,1–1,2–0,2–0,2–1,1–1,1–1,1–1,  ,2–1,2–1,,,9,38,14,11,13,53,0.3684210526315789,0.34210526315789475,0.4649122807017544
2019-20,19,Valladolid,1–0,1–4,0–0,0–1,0–0,2–0,2–1,1–1,1–1,2–2,0–0,3–0,1–1,2–0,0–1,0–0,0–1,1–1,  ,1–1,,,13,38,9,15,14,42,0.23684210526315788,0.3684210526315789,0.3684210526315789
2019-20,20,Villarreal,4–1,0–0,0–0,1–4,1–3,4–0,1–2,1–0,4–4,1–2,2–1,1–0,3–1,5–1,2–2,1–2,2–2,2–0,2–0,  ,,,5,38,18,6,14,60,0.47368421052631576,0.3684210526315789,0.5263157894736842
2018-19,1,Alavés,,0–0,0–4,0–2,0–0,1–1,2–1,1–1,2–1,2–1,1–1,2–0,0–1,0–0,1–0,0–1,1–1,2–1,2–2,2–1,,,11,38,13,11,14,50,0.34210526315789475,0.3684210526315789,0.43859649122807015
2018-19,2,Athletic Bilbao,1–1,,2–0,0–0,3–1,1–0,1–1,1–1,1–0,2–2,2–1,3–2,3–2,1–0,1–1,1–3,2–0,0–0,1–1,0–3,,,8,38,13,14,11,53,0.34210526315789475,0.2894736842105263,0.4649122807017544
2018-19,3,Atlético Madrid,3–0,3–2,,1–1,2–0,1–1,1–0,2–0,2–0,3–0,1–0,1–0,1–0,1–0,1–3,2–0,1–1,3–2,1–0,2–0,,,2,38,22,10,6,76,0.5789473684210527,0.15789473684210525,0.6666666666666666
2018-19,4,Barcelona,3–0,1–1,2–0,,2–0,3–0,2–0,2–0,2–2,8–2,3–1,1–0,3–1,3–4,5–1,2–1,4–2,2–2,1–0,2–0,,,1,38,26,9,3,87,0.6842105263157895,0.07894736842105263,0.7631578947368421
