Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost,Points,WinRate,LossRate,Performance,team_name_clean,team_name_alias_applied,team_name_original
2019-20,1,Alavés,  ,2–1,1–1,0–5,2–0,2–1,0–0,0–0,0–2,1–1,1–0,2–0,0–1,1–1,1–2,2–0,0–1,1–1,3–0,1–2,,,16,38,10,9,19,39,0.2631578947368421,0.5,0.3421052631578947,Alavés,False,Alavés
2019-20,2,Athletic Bilbao,2–0,  ,1–1,1–0,1–1,0–0,3–0,0–2,2–0,0–2,2–1,3–1,0–1,1–0,0–1,2–0,1–2,0–1,1–1,1–0,,,11,38,13,12,13,51,0.3421052631578947,0.3421052631578947,0.4473684210526316,Athletic Bilbao,False,Athletic Bilbao
2019-20,3,Atlético Madrid,2–1,2–0,  ,0–1,0–0,3–2,3–1,1–0,1–0,0–0,2–1,3–0,2–0,1–0,0–0,1–1,2–2,1–1,1–0,3–1,,,3,38,18,16,4,70,0.4736842105263157,0.1052631578947368,0.6140350877192983,Atlético Madrid,False,Atlético Madrid
2019-20,4,Barcelona,4–1,1–0,2–2,  ,4–1,5–0,1–0,2–1,1–0,2–0,2–1,5–2,1–2,5–2,0–0,1–0,4–0,5–2,5–1,2–1,,,2,38,25,7,6,82,0.6578947368421053,0.1578947368421052,0.7192982456140351,FC Barcelona,True,Barcelona
2019-20,5,Celta Vigo,6–0,1–0,1–1,2–2,  ,0–0,1–1,0–1,0–2,1–0,2–3,2–2,1–1,1–1,1–3,0–1,2–1,1–0,0–0,0–1,,,17,38,7,16,15,37,0.1842105263157894,0.3947368421052631,0.3245614035087719,Celta de Vigo,True,Celta Vigo
2019-20,6,Eibar,0–2,2–2,2–0,0–3,2–0,  ,1–2,0–1,3–0,0–0,3–0,1–2,0–2,1–1,0–4,1–2,3–2,1–0,3–1,2–1,,,14,38,11,9,18,42,0.2894736842105263,0.4736842105263157,0.3684210526315789,Eibar,False,Eibar
2019-20,7,Espanyol,2–0,1–1,1–1,2–2,0–0,0–2,  ,1–1,0–3,0–1,1–3,1–0,2–4,2–2,0–1,1–3,0–2,1–2,0–2,0–1,,,20,38,5,10,23,25,0.131578947368421,0.6052631578947368,0.219298245614035,RCD Espanyol,True,Espanyol
2019-20,8,Getafe,1–1,1–1,0–2,0–2,0–0,1–1,0–0,  ,3–1,2–0,4–0,4–2,0–0,1–0,0–3,2–1,0–3,3–0,2–0,1–3,,,8,38,14,12,12,54,0.3684210526315789,0.3157894736842105,0.4736842105263157,Getafe,False,Getafe
2019-20,9,Granada,3–0,4–0,1–1,2–0,0–0,1–2,2–1,2–1,  ,1–0,1–2,1–0,1–0,1–0,1–2,1–2,0–1,2–2,2–1,0–1,,,7,38,16,8,14,56,0.4210526315789473,0.3684210526315789,0.4912280701754385,Granada,False,Granada
2019-20,10,Leganés,1–1,1–1,0–1,1–2,3–2,1–2,2–0,0–3,0–0,  ,1–2,1–0,0–1,0–0,2–2,2–1,0–3,1–0,1–2,0–3,,,18,38,8,12,18,36,0.2105263157894736,0.4736842105263157,0.3157894736842105,Leganés,False,Leganés
